"id"	"hmdb_id"	"name"	"mass"	"adduct_pos"	"mz_ion_pos"	"rt_range_pos"	"adduct_neg"	"mz_ion_neg"	"rt_range_neg"	"rt_expected"
"kc_41"	"HMDB0000224"	"O-Phosphoethanolamine"	141.019094261	"[M+H]+"	142.026370716	"175-185"	"[M-H]-"	140.011817806	"175-185"	182.4
"kc_42"	"HMDB0000208"	"Oxoglutaric acid"	146.021523302	""	NA	"60-100"	"[M-H]-"	145.014246847	"60-100"	78
"kc_43"	"HMDB0000641"	"L-Glutamine"	146.069142196	"[M+H]+"	147.076418651	"172-187"	"[M-H]-"	145.061865741	"172-187"	179.4
"kc_44"	"HMDB0000182"	"L-Lysine"	146.105527702	"[M+H]+"	147.112804157	"180-205"	"[M-H]-"	145.098251247	"180-205"	195
"kc_45"	"HMDB0002931"	"N-Acetylserine"	147.053157781	"[M+H]+"	148.060434236	"65-78"	"[M-H]-"	146.045881326	"60-90"	73.8
"kc_46"	"HMDB0000148"	"L-Glutamic acid"	147.053157781	"[M+H]+"	148.060434236	"170-180"	"[M-H]-"	146.045881326	"170-180"	173.4
"kc_47"	"HMDB0000227"	"Mevalonic acid"	148.073558872	""	NA	"40-60"	"[M-H]-"	147.066282417	"30-60"	48
"kc_48"	"HMDB0000696"	"L-Methionine"	149.051049291	"[M+H]+"	150.058325746	"158-168"	"[M-H]-"	148.043772836	"158-168"	157.2
"kc_49"	"HMDB0000132"	"Guanine"	151.049409807	"[M+H]+"	152.056686262	"162-167"	"[M-H]-"	150.042133352	"162-167"	163.2
"kc_50"	"HMDB0000292"	"Xanthine"	152.033425392	"[M+H]+"	153.040701847	"139-145"	"[M-H]-"	151.026148937	"135-145"	139.2
"kc_51"	"HMDB0000020"	"p-Hydroxyphenylacetic acid"	152.047344122	""	NA	"30-40"	"[M-H]-"	151.040067667	"28-40"	33.6
"kc_52"	"HMDB0000177"	"L-Histidine"	155.069476547	"[M+H]+"	156.076753002	"182-205"	"[M-H]-"	154.062200092	"182-205"	193.8
"kc_53"	"HMDB0000462"	"Allantoin"	158.043990078	"[M+H]+"	159.051266533	"125-135"	"[M-H]-"	157.036713623	"125-135"	133.8
"kc_54"	"HMDB0000635"	"Succinylacetone"	158.057908808	"[M+H]+"	159.065185263	"25-35"	"[M-H]-"	157.050632353	"25-40"	28.8
"kc_55"	"HMDB0000678"	"Isovalerylglycine"	159.089543287	"[M+H]+"	160.096819742	"35-45"	"[M-H]-"	158.082266832	"30-45"	37.8
"kc_56"	"HMDB0000510"	"Aminoadipic acid"	161.068807845	"[M+H]+"	162.0760843	"164-182"	"[M-H]-"	160.06153139	"164-182"	166.2
"kc_57"	"HMDB0000062"	"L-Carnitine"	161.105193351	"[M+H]+"	162.112469806	"60-150"	"[M-H]-"	160.097916896	"60-150"	120
"kc_58"	"HMDB0001934"	"Nicotine"	162.115698458	"[M+H]+"	163.122974913	"31-43"	""	NA	"-"	35.4
"kc_59"	"HMDB0002712"	"1,5-Anhydrosorbitol"	164.068473494	"[M+Na]+"	187.057691494	"131-138"	"[M-H]-"	163.061197039	"131-138"	129.6
"kc_60"	"HMDB0002005"	"Methionine sulfoxide"	165.045963913	"[M+H]+"	166.053240368	"181-188"	"[M-H]-"	164.038687458	"178-188"	182.4
"kc_61"	"HMDB0000159"	"L-Phenylalanine"	165.078978601	"[M+H]+"	166.086255056	"151-170"	"[M-H]-"	164.071702146	"147-170"	149.4
"kc_62"	"HMDB0001991"	"7-Methylxanthine"	166.049075456	"[M+H]+"	167.056351911	"75-105"	"[M-H]-"	165.041799001	"60-105"	89.4
"kc_63"	"HMDB0010738"	"1-Methylxanthine"	166.049075456	"[M+H]+"	167.056351911	"75-90"	"[M-H]-"	165.041799001	"60-90"	72
"kc_64"	"HMDB0001886"	"3-Methylxanthine"	166.049075456	"[M+H]+"	167.056351911	"75-90"	"[M-H]-"	165.041799001	"60-90"	78
"kc_65"	"HMDB0000263"	"Phosphoenolpyruvic acid"	167.982374404	"[M+H]+"	168.989650859	"200-215"	"[M-H]-"	166.975097949	"200-215"	206.4
"kc_66"	"HMDB0000289"	"Uric acid"	168.028340014	""	NA	"166-175"	"[M-H]-"	167.021063559	"166-179"	169.8
"kc_67"	"HMDB0000001"	"1-Methylhistidine"	169.085126611	"[M+H]+"	170.092403066	"180-195"	"[M-H]-"	168.077850156	"180-195"	188.4
"kc_68"	"HMDB0000479"	"3-Methylhistidine"	169.085126611	"[M+H]+"	170.092403066	"180-195"	"[M-H]-"	168.077850156	"180-195"	193.2
"kc_69"	"HMDB0001112"	"D-Glyceraldehyde 3-phosphate"	169.998024468	"[M+H]+"	171.005300923	"203-220"	"[M-H]-"	168.990748013	"203-220"	216
"kc_70"	"HMDB0000893"	"Suberic acid"	174.089208936	"[M+Na]+"	197.078426936	"33-43"	"[M-H]-"	173.081932481	"30-45"	37.8
"kc_71"	"HMDB0003357"	"N-Acetylornithine"	174.100442324	"[M+H]+"	175.107718779	"148-161"	"[M-H]-"	173.093165869	"148-161"	149.4
"kc_72"	"HMDB0000517"	"L-Arginine"	174.111675712	"[M+H]+"	175.118952167	"180-203"	"[M-H]-"	173.104399257	"180-203"	193.2
"kc_73"	"HMDB0000812"	"N-Acetyl-L-aspartic acid"	175.048072403	"[M+H]+"	176.055348858	"90-110"	"[M-H]-"	174.040795948	"80-110"	96.6
"kc_74"	"HMDB0000197"	"Indoleacetic acid"	175.063328537	"[M+H]+"	176.070604992	"33-39"	"[M-H]-"	174.056052082	"33-39"	34.8
"kc_75"	"HMDB0000904"	"Citrulline"	175.095691297	"[M+H]+"	176.102967752	"178-190"	"[M-H]-"	174.088414842	"178-190"	182.4
"kc_76"	"HMDB0000044"	"Ascorbic acid"	176.032087988	"[M+H]+"	177.039364443	"123-133"	"[M-H]-"	175.024811533	"123-133"	126
"kc_77"	"HMDB0000259"	"Serotonin"	176.094963016	"[M-NH3+H]+"	NA	"107-127"	""	NA	"-"	120.6
"kc_78"	"HMDB0001015"	"N-Formyl-L-methionine"	177.045963913	"[M+H]+"	178.053240368	"35-45"	"[M-H]-"	176.038687458	"30-45"	38.4
"kc_79"	"HMDB0001514"	"Glucosamine"	179.079372531	"[M+H]+"	180.086648986	"163-176"	"[M+Cl]-"	214.048774531	"163-184"	166.2
"kc_80"	"HMDB0001879"	"Aspirin"	180.042258744	""	NA	"30-40"	"[M-H]-"	179.034982289	"30-40"	33.6
"kc_81"	"HMDB0000660"	"D-Fructose"	180.063388116	"[M+Na]+"	203.052606116	"161-176"	"[M-H]-"	179.056111661	"161-176"	161.4
"kc_82"	"HMDB0000169"	"D-Mannose"	180.063388116	"[M+Na]+"	203.052606116	"161-176"	"[M-H]-"	179.056111661	"161-176"	165
"kc_83"	"HMDB0000122"	"D-Glucose"	180.063388116	"[M+Na]+"	203.052606116	"161-175"	"[M+Cl]-"	215.032790116	"161-175"	171.6
"kc_84"	"HMDB0000211"	"myo-Inositol"	180.063388116	"[M+Na]+"	203.052606116	"185-205"	"[M-H]-"	179.056111661	"165-180"	192.6
"kc_85"	"HMDB0000158"	"L-Tyrosine"	181.073893223	"[M+H]+"	182.081169678	"160-173"	"[M-H]-"	180.066616768	"160-175"	162.6
"kc_86"	"HMDB0003099"	"1-Methyluric acid"	182.043990078	"[M+H]+"	183.051266533	"145-150"	"[M-H]-"	181.036713623	"140-155"	146.4
"kc_87"	"HMDB0000118"	"Homovanillic acid"	182.057908808	""	NA	"35-55"	"[M-H]-"	181.050632353	"30-55"	40.38
"kc_88"	"HMDB0000107"	"Galactitol"	182.07903818	"[M+H]+"	183.086314635	"160-168"	"[M-H]-"	181.071761725	"160-168"	162
"kc_89"	"HMDB0000247"	"Sorbitol"	182.07903818	"[M+H]+"	183.086314635	"160-172"	"[M-H]-"	181.071761725	"164-180"	162
"kc_90"	"HMDB0001565"	"Phosphorylcholine"	184.073869485	"[M+H]+"	185.08114594	"182-202"	"[M+Cl]-"	219.043271485	"182-202"	192
"kc_91"	"HMDB0000068"	"Epinephrine"	183.089543287	"[M+H]+"	184.096819742	"115-145"	"[M-H]-"	182.082266832	"115-145"	132
"kc_92"	"HMDB0001138"	"N-Acetylglutamic acid"	189.063722467	"[M+H]+"	190.070998922	"80-90"	"[M-H]-"	188.056446012	"80-90"	85.8
"kc_93"	"HMDB0011745"	"N-Acetyl-L-methionine"	191.061613977	"[M+H]+"	192.068890432	"35-45"	"[M-H]-"	190.054337522	"30-45"	36
"kc_94"	"HMDB0000127"	"D-Glucuronic acid"	194.042652674	"[M+Na]+"	217.031870674	"168-178"	"[M-H]-"	193.035376219	"168-178"	171.6
"kc_95"	"HMDB0001847"	"Caffeine"	194.080375584	"[M+H]+"	195.087652039	"32-38"	""	NA	"-"	34.8
"kc_96"	"HMDB0001857"	"1,3-Dimethyluric acid"	196.059640142	"[M+H]+"	197.066916597	"90-110"	"[M-H]-"	195.052363687	"90-110"	96
"kc_97"	"HMDB0011103"	"1,7-Dimethyluric acid"	196.059640142	"[M+H]+"	197.066916597	"118-128"	"[M-H]-"	195.052363687	"118-128"	114
"kc_98"	"HMDB0000181"	"L-Dopa"	197.068807845	"[M+H]+"	198.0760843	"166-174"	"[M-H]-"	196.06153139	"166-174"	168.6
"kc_99"	"HMDB0032055"	"N-Acetylhistidine"	197.080041233	"[M+H]+"	198.087317688	"178-190"	"[M-H]-"	196.072764778	"178-190"	183
"kc_100"	"HMDB0001539"	"Asymmetric dimethylarginine"	202.14297584	"[M+H]+"	203.150252295	"168-192"	"[M-H]-"	201.135699385	"168-192"	180
"kc_101"	"HMDB0003334"	"Symmetric dimethylarginine"	202.14297584	"[M+H]+"	203.150252295	"168-192"	"[M-H]-"	201.135699385	"168-192"	180
"kc_102"	"HMDB0000201"	"L-Acetylcarnitine"	203.115758031	"[M+H]+"	204.123034486	"38-56"	""	NA	"-"	49.2
"kc_103"	"HMDB0000929"	"L-Tryptophan"	204.089877638	"[M+H]+"	205.097154093	"142-160"	"[M-H]-"	203.082601183	"142-160"	149.4
"kc_104"	"HMDB0000671"	"Indolelactic acid"	205.073893223	"[M+H]+"	206.081169678	"36-41"	"[M-H]-"	204.066616768	"30-41"	37.8
"kc_105"	"HMDB0000684"	"L-Kynurenine"	208.08479226	"[M+H]+"	209.092068715	"154-160"	"[M-H]-"	207.077515805	"150-160"	153
"kc_106"	"HMDB0001511"	"Phosphocreatine"	211.035806957	"[M+H]+"	212.043083412	"168-188"	"[M-H]-"	210.028530502	"168-188"	178.8
"kc_107"	"HMDB0000682"	"Indoxyl sulfate"	213.009578407	"[M+Na]+"	235.998796407	"60-73"	"[M-H]-"	212.002301952	"60-80"	64.8
"kc_108"	"HMDB0000210"	"Pantothenic acid"	219.110672659	"[M+H]+"	220.117949114	"50-65"	"[M-H]-"	218.103396204	"50-65"	54
"kc_109"	"HMDB0000215"	"N-Acetyl-D-glucosamine"	221.089937217	"[M+H]+"	222.097213672	"145-165"	"[M-H]-"	220.082660762	"145-165"	156
"kc_110"	"HMDB0000033"	"Carnosine"	226.106590334	"[M+H]+"	227.113866789	"170-190"	"[M-H]-"	225.099313879	"179-190"	180
"kc_111"	"HMDB0000736"	"Isobutyryl-L-carnitine"	231.14705816	"[M+H]+"	232.154334615	"36-47"	""	NA	"-"	42.6
"kc_112"	"HMDB0000192"	"L-Cystine"	240.023848262	"[M+H]+"	241.031124717	"205-218"	"[M-H]-"	239.016571807	"205-218"	211.8
"kc_113"	"HMDB0000089"	"Cytidine"	243.085520541	"[M+H]+"	244.092796996	"145-165"	"[M-H]-"	242.078244086	"145-165"	154.2
"kc_114"	"HMDB0000296"	"Uridine"	244.069536126	"[M+H]+"	245.076812581	"120-133"	"[M-H]-"	243.062259671	"108-133"	122.4
"kc_115"	"HMDB0000688"	"Isovalerylcarnitine"	245.162708229	"[M+H]+"	246.169984684	"36-42"	""	NA	"-"	37.8
"kc_116"	"HMDB0000086"	"Glycerophosphocholine"	257.102823889	"[M+H]+"	258.110100344	"189-195"	"[M+Cl]-"	292.072225889	"187-195"	190.8
"kc_117"	"HMDB0000050"	"Adenosine"	267.096753929	"[M+H]+"	268.104030384	"100-140"	"[M-H]-"	266.089477474	"100-140"	123
"kc_118"	"HMDB0000195"	"Inosine"	268.080769514	"[M+H]+"	269.088045969	"146-173"	"[M-H]-"	267.073493059	"140-180"	145.2
"kc_119"	"HMDB0001316"	"6-Phosphogluconic acid"	276.024633148	"[M+H]+"	277.031909603	"185-192"	"[M-H]-"	275.017356693	"185-192"	195
"kc_120"	"HMDB0003333"	"8-Hydroxy-deoxyguanosine"	283.091668551	"[M+H]+"	284.098945006	"162-168"	"[M-H]-"	282.084392096	"162-168"	163.2
"kc_121"	"HMDB0000133"	"Guanosine"	283.091668551	"[M+H]+"	284.098945006	"162-168"	"[M-H]-"	282.084392096	"162-168"	162
"kc_122"	"HMDB0000252"	"Sphingosine"	299.282429433	"[M+H]+"	300.289705888	"25-35"	""	NA	"-"	31.2
"kc_123"	"HMDB0000230"	"N-Acetylneuraminic acid"	309.105981211	"[M+Na]+"	332.095199211	"165-175"	"[M-H]-"	308.098704756	"165-175"	170.76
"kc_124"	"HMDB0000095"	"Cytidine monophosphate"	323.051850951	"[M+H]+"	324.059127406	"182-202"	"[M-H]-"	322.044574496	"182-202"	192
"kc_125"	"HMDB0000258"	"Sucrose"	342.116211546	"[M+Na]+"	365.105429546	"182-193"	"[M-H]-"	341.108935091	"170-190"	186.6
"kc_126"	"HMDB0000186"	"Alpha-Lactose"	342.116211546	"[M+Na]+"	365.105429546	"190-205"	"[M-H]-"	341.108935091	"170-190"	195
"kc_127"	"HMDB0000939"	"S-Adenosylhomocysteine"	384.12158847	"[M+H]+"	385.128864925	"165-175"	"[M-H]-"	383.114312015	"165-185"	171.6
"kc_128"	"HMDB0001546"	"CDP"	403.018181361	"[M+Na]+"	426.007399361	"162-176"	"[M-H]-"	402.010904906	"162-176"	168
